varset,variable,n_obs,mean,std,min,max,adf_stat,adf_pvalue,adf_stationary,kpss_stat,kpss_pvalue,kpss_stationary
parsimonious,gross_reserves_usd_m,219,5725.422189094698,2031.0855998826046,1588.37233054694,9935.768813397091,-2.1764973844577455,0.21488584892972318,False,0.37086865768415245,0.08971178548096877,True
parsimonious,trade_balance_usd_m,219,-594.9521973574717,229.20028502673858,-1100.6468676490924,-39.08332576456121,-3.5520510956765334,0.006746715748954095,True,0.40271132158695017,0.07598649931596976,True
parsimonious,usd_lkr,219,171.23427899543378,73.491764811264,107.6086,363.945,-0.6617522761515954,0.8564094335412842,False,1.7484453630148447,0.01,False
bop,gross_reserves_usd_m,195,6046.479279034557,1919.0411023180343,1588.37233054694,9935.768813397091,-2.088812049958654,0.24903706469659026,False,0.5622056218160548,0.02765639148287053,False
bop,exports_usd_m,195,907.7301522042329,159.83764830907447,282.3103443550165,1241.6908589753436,-2.3082830868561532,0.16931042639171057,False,1.558998308885768,0.01,False
bop,imports_usd_m,195,1526.749405236487,285.9835125925371,606.3115947182515,2240.979740627027,-3.9250046403454264,0.0018583420368235215,True,0.4950295811367255,0.042786130374611375,False
bop,remittances_usd_m,195,501.8657314922868,119.71407964368075,204.92486303716285,812.7378063911985,-2.7850265478835485,0.060444656079699156,False,0.45227423658907534,0.05462317388401926,True
bop,tourism_usd_m,195,174.3647749068058,129.19380403200114,0.0,475.20833976000006,-1.9913205052651897,0.2903916745240124,False,0.4967176860391171,0.04240592656776643,False
monetary,gross_reserves_usd_m,221,5678.594838967145,2037.0498729623266,1588.37233054694,9935.768813397091,-2.279825033290754,0.17855737617512557,False,0.8539201150439173,0.01,False
monetary,usd_lkr,221,147.2482610859728,50.01413763605634,98.9288,320.32,1.037486436018161,0.9946461415720341,False,1.7805649162519606,0.01,False
monetary,m2_usd_m,221,25106.771082176383,12711.072047659134,7095.476746912932,47728.387495815216,-0.5755957819769033,0.876401583658406,False,2.279346516632562,0.01,False
pca,gross_reserves_usd_m,130,6743.745221227518,1475.0160510334654,1588.37233054694,9935.768813397091,-2.357424766428467,0.15411514196457382,False,0.5953958950216138,0.02305491863439874,False
pca,PC1,130,0.5506794878213537,2.1853351842590194,-3.536919088720558,5.628676259723155,-0.714143411959665,0.8430519835944892,False,1.4840974179233204,0.01,False
pca,PC2,130,0.7892073986520952,1.9018793822588116,-3.9524622417858257,5.429248259621318,-2.640455977560629,0.08492073251049093,False,1.2421831746242344,0.01,False
pca,PC3,130,-0.36566831709487757,1.267701731570674,-5.073137428648273,2.6747417178810697,-2.5429483330348432,0.10537107094674697,False,1.0521219509302937,0.01,False
full,gross_reserves_usd_m,137,6627.959557749918,1586.52746675554,1588.37233054694,9935.768813397091,-2.222307710635024,0.19824888858985584,False,0.6935934714515929,0.014127866231673373,False
full,exports_usd_m,137,934.4674956051628,133.10693267560384,282.3103443550165,1231.6821030552203,-2.1176963692541713,0.23745859566257715,False,1.0494857287339099,0.01,False
full,imports_usd_m,137,1622.7149073361759,198.42549124155923,993.8228128748568,2240.979740627027,-3.9813126169651896,0.0015115877745570335,True,0.1483314614532437,0.1,True
full,remittances_usd_m,137,551.8460927673908,89.15085526559685,204.92486303716285,812.7378063911985,-3.333510411048137,0.013445413456695891,True,0.23903136619957777,0.1,True
full,usd_lkr,137,170.8232510948905,50.582905406453804,113.8195,320.32,0.43468679906613805,0.9827467731164856,False,1.5875832885171988,0.01,False
full,m2_usd_m,137,33305.85614664619,8700.75278846818,18060.73999407965,47728.387495815216,-1.2200756851318288,0.664900591592715,False,1.9400048506197034,0.01,False
full,trade_balance_usd_m,137,-688.2474117310129,181.9007745388322,-1090.5157365580185,-161.3159889531363,-6.874080581047038,1.4899607604636508e-09,True,0.4503979192568496,0.05543193135480622,True
