variable_set,model,period,n,rmse,rmse_vs_naive_pct,mape,smape,r_squared,mase,theil_u2,dir_acc,dm_stat,dm_pvalue,beats_naive
parsimonious,Naive,post_crisis,9,265.48885726774546,0.0,2.994995318620754,3.0523824086332323,0.03933906374936391,0.8899389643630636,1.0,62.5,,,False
parsimonious,MS-VAR,post_crisis,9,2599.050372023777,878.9677799556895,42.33783695955021,34.840338898131954,-91.06762243290146,12.223166763091038,9.019697132940554,62.5,,,False
parsimonious,MS-VECM,post_crisis,9,2666.879731124284,904.5166334174003,43.45252294070578,35.60754394394852,-95.93584402869719,12.552542327329867,9.308730315036641,62.5,,,False
parsimonious,ARIMA,post_crisis,9,2812.917161973383,959.523624050465,45.64380353342637,59.15737709914458,-106.8428658154629,13.26708173449599,10.105129060989007,87.5,,,False
parsimonious,VECM,post_crisis,9,2050.2501012197026,672.2546709943558,33.336923755712576,28.47637406435519,-56.29163531590374,9.61410970763822,7.077767332776319,62.5,,,False
parsimonious,BVAR,post_crisis,9,372.9224008727928,40.46630985220621,5.596503258134803,5.7017688073718515,-0.8954593625889729,1.6405169300760645,1.3705817369151583,50.0,,,False
parsimonious,DMA,post_crisis,9,267.00973264581916,0.5728584595698916,3.1539869045746536,3.2125685441562517,0.028301083163228546,0.9320482442726957,1.0012083904661926,75.0,,,False
parsimonious,DMS,post_crisis,9,265.48885726774546,0.0,2.994995318620754,3.0523824086332323,0.03933906374936391,0.8899389643630636,1.0,62.5,,,False
parsimonious,XGBoost,post_crisis,9,104.11816809501175,-60.78247156338896,1.4441110708906888,1.4335664336016216,0.8522489515229366,0.41841963641136753,0.37504791719031083,87.5,,,True
parsimonious,LSTM,post_crisis,9,328.73553288516774,23.822723208920983,3.9368818196061266,4.074560792346004,-0.47289176302921065,1.172176555760341,1.2294863640063867,50.0,,,False
bop,Naive,post_crisis,9,265.48885726774546,0.0,2.994995318620754,3.0523824086332323,0.03933906374936391,0.8899389643630636,1.0,62.5,,,False
bop,BVAR,post_crisis,9,357.4693481065792,34.645706710798585,5.424898637462841,5.509024926349507,-0.7416270103730287,1.5915222128102495,1.324443229608197,37.5,,,False
monetary,Naive,post_crisis,8,233.5417521557976,0.0,2.517662491065865,2.552183360223601,0.11907042218687403,0.8764022435897436,1.0,57.14285714285714,,,False
monetary,BVAR,post_crisis,8,362.33063440426986,55.14597756488362,5.496130658317171,5.591878105357345,-1.1204216625011623,1.892989218343707,1.4902715551258012,42.857142857142854,,,False
pca,Naive,post_crisis,5,254.71670538070327,0.0,2.69647326195445,2.780591319367399,0.34231418925768153,0.8019024970273484,1.0,50.0,,,False
pca,BVAR,post_crisis,5,440.04484493061784,72.7585335531568,6.864506624137853,7.12317348627205,-0.9628969043438032,2.014979424277767,1.6657989445331607,75.0,,,False
full,Naive,post_crisis,8,233.5417521557976,0.0,2.517662491065865,2.552183360223601,0.11907042218687403,0.8764022435897436,1.0,57.14285714285714,,,False
full,BVAR,post_crisis,8,350.1519401641385,49.93119514259246,5.301308845369477,5.367979893134158,-0.9802736001015193,1.8282844373140754,1.4578449911019045,57.14285714285714,,,False
