method,n,rmse,mae,mape,r_squared,dir_acc,vs_naive
DynamicSelection,9,266.5380653868522,219.86762066748452,3.6049295657379727,0.03173102374928338,87.5,-40.40138091103487
InvRMSE_Weighted,9,353.80914477639146,293.5333322207903,4.880859381586964,-0.706143839419044,62.5,-20.88733585157617
SimpleAvg,9,353.8091447763919,293.5333322207907,4.880859381586971,-0.7061438394190482,62.5,-20.88733585157606
Stack_Ridge,9,353.8091447763919,293.5333322207907,4.880859381586971,-0.7061438394190482,62.5,-20.88733585157606
Stack_ElasticNet,9,353.8091447763919,293.5333322207907,4.880859381586971,-0.7061438394190482,62.5,-20.88733585157606
Stack_XGBoost,9,353.8091447763919,293.5333322207907,4.880859381586971,-0.7061438394190482,62.5,-20.88733585157606
TrimmedMean,9,472.6703747991937,416.6237266309724,6.902794527189063,-2.0450491097188284,50.0,5.690350762503593
XGBoost_Standalone,27,485.9618788881433,339.80976666666675,10.886459492438505,0.8741555713476448,80.76923076923077,8.662366366229834
Best3Avg,9,840.1279432354565,811.8377547325367,13.382185455609868,-8.619852089005214,87.5,87.8548386783465
