date,gross_reserves_usd_m,trade_balance_usd_m,usd_lkr
2007-01-01,2889.0,-321.9843661267483,108.5219
2007-02-01,2946.0,-161.6950772259595,108.6842
2007-03-01,3004.0,-243.6416391909181,109.2941
2007-04-01,3061.0,-437.7802499899455,109.3595
2007-05-01,3118.0,-377.0599378976598,110.7995
2007-06-01,3175.0,-193.0816209688321,110.9662
2007-07-01,3232.0,-146.46232273724968,111.6724
2007-08-01,3290.0,-285.2365498982705,112.1839
2007-09-01,3347.0,-286.9592734174,113.3415
2007-10-01,3404.0,-451.6127397120936,112.8583
2007-11-01,3461.0,-431.33130784260607,110.4181
2007-12-01,3518.0,-319.6542852126656,108.891
2008-01-01,3443.0,-624.4941783196442,108.1557
2008-02-01,3368.0,-330.25407383026607,107.827
2008-03-01,3293.0,-470.5588669086972,107.6838
2008-04-01,3218.0,-692.269146142361,107.7791
2008-05-01,3143.0,-489.63959592008587,107.7705
2008-06-01,3067.0,-552.2116974092115,107.7633
2008-07-01,2992.0,-417.8712567370743,107.6086
2008-08-01,2917.0,-513.079526003247,107.7181
2008-09-01,2842.0,-590.2507890677023,107.8233
2008-10-01,2767.0,-579.7262317021243,108.1661
2008-11-01,2692.0,-345.3399947010623,109.9594
2008-12-01,2617.0,-374.88404008964346,111.4464
2009-01-01,2845.0,-191.4913013642742,113.7685
2009-02-01,3073.0,-82.06311444009714,114.1026
2009-03-01,3301.0,-391.5550858850635,114.2836
2009-04-01,3529.0,-183.02343062809115,117.3068
2009-05-01,3757.0,-234.9125411152129,116.672
2009-06-01,3985.0,-279.88836052689896,114.8105
2009-07-01,4213.0,-287.0418927802649,114.8002
2009-08-01,4441.0,-131.7245801709587,114.7148
2009-09-01,4669.0,-235.39258968135607,114.7667
2009-10-01,4897.0,-414.296455614018,114.7838
2009-11-01,5126.0,-321.7272548670394,114.4853
2009-12-01,5354.0,-368.9947323178044,114.2836
2010-01-01,5507.0,-581.1751174215458,114.3589
2010-02-01,5661.0,-290.4064454198144,114.5079
2010-03-01,5814.0,-220.5218848294384,114.1039
2010-04-01,5968.0,-506.45610410802345,113.8286
2010-05-01,6121.0,-491.9066574990842,113.7025
2010-06-01,6274.0,-489.1153713451738,113.5605
2010-07-01,6428.0,-244.2614639843109,112.9571
2010-08-01,6581.0,-300.4199336421817,112.3968
2010-09-01,6735.0,-376.7212834566292,112.3029
2010-10-01,6888.0,-305.7027634234039,111.667
2010-11-01,7042.0,-320.5595454434573,111.5155
2010-12-01,7195.0,-697.8645157969852,111.0081
2011-01-01,7157.0,-644.918427818361,110.82
2011-02-01,7119.0,-418.9081895972439,110.8074
2011-03-01,7081.0,-703.3506445670025,110.3022
2011-04-01,7043.0,-741.6907410758013,110.2129
2011-05-01,7005.0,-847.0988093679999,109.7629
2011-06-01,6967.0,-848.2370055117686,109.5391
2011-07-01,6929.0,-807.6880758463105,109.457
2011-08-01,6891.0,-882.8967957166119,109.7139
2011-09-01,6853.0,-904.2634622086812,110.0529
2011-10-01,6815.0,-867.8530046762455,110.0875
2011-11-01,6777.0,-1100.6468676490924,111.2205
2011-12-01,6739.0,-942.4300379550436,113.8067
2012-01-01,6770.0,-1026.8265152474398,113.8195
2012-02-01,6800.0,-759.6613822727264,117.281
2012-03-01,6831.0,-992.6190239151198,125.6605
2012-04-01,6862.0,-692.5897272126425,128.4248
2012-05-01,6892.0,-769.067048436797,129.0045
2012-06-01,6923.0,-663.2087761226312,131.8519
2012-07-01,6953.0,-530.5521145358656,132.4848
2012-08-01,6984.0,-921.103057937686,131.9896
2012-09-01,7015.0,-512.9054644067646,131.5105
2012-10-01,7045.0,-808.7568520726187,129.0859
2012-11-01,7076.0,-1090.5157365580185,130.234
2012-12-01,7106.0,-648.868224332028,128.036
2013-01-01,7139.0,-803.569095566558,126.72
2013-02-01,7172.0,-635.5415984410552,126.7342
2013-03-01,7205.0,-712.7941100322424,126.7005
2013-04-01,7238.0,-829.014218643149,125.9673
2013-05-01,7270.0,-754.9333696570889,126.2432
2013-06-01,7303.0,-701.7813703838805,127.9125
2013-07-01,7336.0,-573.7313475647957,131.1345
2013-08-01,7369.0,-556.2708290734902,131.9682
2013-09-01,7402.0,-587.2959772021716,132.3465
2013-10-01,7434.0,-352.3227803941054,130.9955
2013-11-01,7005.112547885943,-537.8405391690344,131.0895
2013-12-01,7495.272121523254,-563.4082874849621,130.7643
2014-01-01,8048.583905345139,-751.5404045533467,130.6857
2014-02-01,8259.552166921556,-578.0674789684322,130.7968
2014-03-01,8059.724448730886,-601.9964684630604,130.5857
2014-04-01,8896.731082422368,-680.1949197610089,130.5936
2014-05-01,8772.663840758212,-469.663220170549,130.3833
2014-06-01,9164.004705013178,-453.707034441209,130.2714
2014-07-01,8973.741181262614,-888.6867600687452,130.2123
2014-08-01,9185.637359336446,-731.8705536223589,130.1748
2014-09-01,8821.804336421244,-764.6160902131759,130.2562
2014-10-01,8790.920103836674,-848.345819350485,130.5618
2014-11-01,8330.88205481358,-725.658678371746,130.9278
2014-12-01,8208.41,-792.348208356436,131.0786
2015-01-01,7252.429999999999,-761.1910946520267,131.6075
2015-02-01,7420.4554996301695,-622.2750351102045,132.7221
2015-03-01,6819.545505227352,-512.8212253634933,132.95
2015-04-01,7454.631473478869,-773.4895682414607,132.9227
2015-05-01,6845.77,-699.3743469610833,133.46
2015-06-01,7525.485379478358,-733.1805509293723,133.9382
2015-07-01,6808.550649772876,-596.7504369941338,133.6818
2015-08-01,6457.719028229418,-721.2713163854419,133.8519
2015-09-01,6783.679258500682,-729.5297914757305,139.2329
2015-10-01,6480.684974502037,-787.5304341536727,140.851
2015-11-01,7281.211071319568,-626.457189973438,141.9637
2015-12-01,7303.637753940239,-824.2264879906832,143.335
2016-01-01,6294.321468539339,-690.5328464801408,143.5505
2016-02-01,6573.369087438172,-547.7132926701769,143.639
2016-03-01,6221.186356293166,-617.016486745603,145.1335
2016-04-01,6068.525257617199,-750.5009088235394,145.2019
2016-05-01,5645.141094794298,-809.7097323057518,145.9081
2016-06-01,5292.27,-775.2400898378226,145.8609
2016-07-01,6489.187703676498,-541.2549650288521,145.401
2016-08-01,6598.941049091874,-782.7786895434873,145.2035
2016-09-01,6455.718499925342,-610.3835344823331,145.4581
2016-10-01,6053.842609846051,-868.479246477285,146.76
2016-11-01,5644.133101910387,-922.429684499474,147.81
2016-12-01,6019.035611001512,-957.0636115616744,148.8152
2017-01-01,5453.161533649116,-934.2263353120848,149.8342
2017-02-01,5634.658678738561,-743.3529006745673,150.8721
2017-03-01,5117.259154753076,-827.5042659076735,151.5048
2017-04-01,5048.0818935876005,-809.2200912555516,151.862
2017-05-01,6759.704093553758,-883.5045414287421,152.3909
2017-06-01,6959.025226455214,-553.6282309791881,152.8082
2017-07-01,6710.485696665525,-575.947621103195,153.5875
2017-08-01,7693.548007249217,-856.2579068223735,153.0978
2017-09-01,7279.835590729757,-655.6284429810682,152.8125
2017-10-01,7500.7921236637585,-751.6590014576046,153.4905
2017-11-01,7335.117235752753,-999.451335150398,153.5925
2017-12-01,7958.65303040954,-1028.9965431917012,153.1085
2018-01-01,7669.98,-1049.1205750795198,153.7452
2018-02-01,7922.369345490189,-1062.3427582555032,154.7737
2018-03-01,7319.749709742925,-870.8585735114198,155.6386
2018-04-01,9935.768813397091,-998.573132040642,156.1857
2018-05-01,8808.916585622243,-933.2003253892163,157.7527
2018-06-01,9267.017122111823,-795.1115520523169,158.9619
2018-07-01,8429.671933126869,-681.3008581637735,159.3548
2018-08-01,8584.53782202296,-849.7567539366917,160.3217
2018-09-01,7164.0793420685,-713.1955296613637,165.2237
2018-10-01,7903.305318148267,-903.37739503861,171.3614
2018-11-01,7005.322478512801,-785.054208288564,176.7275
2018-12-01,6919.216639148527,-701.1983685441432,180.0794
2019-01-01,6152.196208752774,-617.3119057258164,181.6025
2019-02-01,6035.155009941658,-451.276427474974,178.3944
2019-03-01,7629.241941007436,-592.181256948257,178.0952
2019-04-01,7213.972057497156,-797.4673197138956,174.6432
2019-05-01,6722.612629789063,-822.6748378780936,176.15
2019-06-01,8864.984523119312,-315.88950796695144,176.4635
2019-07-01,8347.063830786541,-717.38498673239,175.8832
2019-08-01,8523.712277937197,-541.1007528065193,177.9386
2019-09-01,7635.331963594275,-756.7831914201676,180.7975
2019-10-01,7780.083013603978,-838.4448300886509,181.3155
2019-11-01,7520.452982431865,-762.3054128978464,180.3111
2019-12-01,7642.393000751939,-784.2470304511779,181.1976
2020-01-01,7512.733529432759,-730.4419958092825,181.3219
2020-02-01,7941.515070351391,-573.8068168644135,181.5016
2020-03-01,7533.736569408685,-548.8307539777272,184.4095
2020-04-01,7209.520101152639,-840.2966183594135,191.3536
2020-05-01,6499.857251537734,-407.1355388088159,187.5425
2020-06-01,6694.648013475818,-161.3159889531363,185.8705
2020-07-01,7095.831822594811,-208.6732392512636,185.7377
2020-08-01,7430.083006707859,-341.8593929279268,184.8529
2020-09-01,6666.320938200717,-524.8428667735341,184.9519
2020-10-01,5855.74394110227,-508.5050164714776,184.3767
2020-11-01,5555.275602812615,-600.04456645956,184.8094
2020-12-01,5664.265569350756,-562.1961890457637,186.6329
2021-01-01,4841.863004371764,-654.9279155652673,187.0
2021-02-01,4582.993424023525,-571.879398543591,194.01
2021-03-01,4055.2,-832.1579854405802,199.04
2021-04-01,4470.738472224253,-888.7877519617184,199.54
2021-05-01,4032.831217910092,-715.7308339726277,199.5
2021-06-01,4060.0459080962846,-652.1896474778396,201.14
2021-07-01,2805.884166609781,-606.162312230088,199.9
2021-08-01,3543.508985941734,-585.6326293082925,210.0
2021-09-01,2704.1872990039246,-491.5751327408632,199.99
2021-10-01,2269.211946488995,-501.9404860937148,201.87
2021-11-01,1588.37233054694,-553.1590714477588,202.05
2021-12-01,3139.2264604363068,-1084.694406450296,200.43
2022-01-01,2361.645210710561,-856.7801682661034,201.19
2022-02-01,2311.250466948733,-779.6114494051617,201.06
2022-03-01,1917.0,-760.6802687265958,299.0
2022-04-01,1812.0,-728.0559349126783,341.85
2022-05-01,1887.0,-403.1633877012798,360.76
2022-06-01,1854.0,-403.1633877012798,359.88
2022-07-01,1817.0,-403.1633877012798,360.8
2022-08-01,1717.0,-260.49962166467435,361.15
2022-09-01,1779.0,-204.5332403154273,362.9
2022-10-01,1705.0,-204.5332403154273,363.3
2022-11-01,1806.0,-449.2334738146985,363.19
2022-12-01,1898.0,-357.9705111546816,363.11
2023-01-01,2121.0,-445.2002499916081,362.14
2023-02-01,2219.0,-39.08332576456121,361.63
2023-03-01,2694.0,-412.0878001585768,321.89
2023-04-01,2761.0,-582.5861250038763,321.65
2023-05-01,3491.0,-446.7763793091773,295.52
2023-06-01,3724.0,-363.7431862386294,308.83
2023-07-01,3765.0,-367.1194373694096,329.36
2023-08-01,3600.0,-307.3766468506949,322.66
2023-09-01,3540.0,-377.3726025223376,324.45
2023-10-01,3569.0,-682.5263920485296,327.38
2023-11-01,3571.0,-389.7325577027326,329.04
2023-12-01,4392.0,-486.8157288873658,323.92
2024-01-01,4496.0,-541.063892951967,317.41
2024-02-01,4520.0,-319.1011003939159,310.15
2024-03-01,4960.0,-359.2184755906373,301.18
2024-04-01,5471.0,-557.667321307131,296.86
2024-05-01,5410.0,-393.3409156114109,301.89
2024-06-01,5654.0,-369.5969020339621,305.71
2024-07-01,5652.0,-603.842021411449,302.37
2024-08-01,5959.0,-422.3453168852234,300.33
2024-09-01,5994.0,-634.0026761167811,299.36
2024-10-01,6472.0,-544.3808783299428,293.72
2024-11-01,6451.0,-502.1524498119831,290.92
2024-12-01,6122.0,-822.7097805132428,292.58
2025-01-01,6065.0,-732.7352158162669,297.58
2025-02-01,6086.0,-411.2716630210748,295.5
2025-03-01,6531.0,-395.6159422058725,296.35
2025-04-01,6327.0,-717.6587828356027,299.62
2025-05-01,6286.0,-472.518402847541,299.44
2025-06-01,6081.0,-540.2611752415419,299.97
2025-07-01,6147.0,-580.0275345724501,302.21
2025-08-01,6178.0,-414.1569531107957,302.45
2025-09-01,6244.0,-910.1283377671152,302.61
2025-10-01,6216.0,-1006.9193641604668,304.42
2025-11-01,6034.0,-730.664234669928,308.03
2025-12-01,6825.0,-730.664234669928,309.72
