varset,segment,model,rmse,mae,mape,policy_loss,n,window_mode
parsimonious,all,ARIMA,1170.390372884875,896.2363082988318,21.60856574591753,1785.5782432023416,36,common_dates
parsimonious,crisis,ARIMA,1491.032730913612,1256.260683857491,40.03000482337234,2512.521367714982,12,common_dates
parsimonious,tranquil,ARIMA,971.1493886547754,716.2241205195024,12.397846207190131,1422.1066809460224,24,common_dates
parsimonious,all,BVAR,1209.0448135381062,959.6627573585652,21.29110105754055,1907.2539754873287,36,common_dates
parsimonious,crisis,BVAR,1410.0573946713394,1265.963513312464,35.903781661328786,2501.5273716446286,12,common_dates
parsimonious,tranquil,BVAR,1094.7845055450082,806.5123793816161,13.984760755646434,1610.11727740868,24,common_dates
parsimonious,all,MS-VAR,311.7527123873274,230.34319753015643,5.198389638189099,408.4147824903816,36,common_dates
parsimonious,crisis,MS-VAR,367.0573845727197,292.9410952829084,8.829289937673696,540.8702354673658,12,common_dates
parsimonious,tranquil,MS-VAR,280.0340492450888,199.04424865378044,3.3829394884468003,342.18705600188963,24,common_dates
parsimonious,all,MS-VECM,357.68705043470067,274.124785963903,6.192081192624011,518.1356437958564,36,common_dates
parsimonious,crisis,MS-VECM,393.68147583221497,319.60027002826183,9.901103484482796,631.4748619863175,12,common_dates
parsimonious,tranquil,MS-VECM,338.2565400199953,251.3870439317235,4.337570046694618,461.4660347006258,24,common_dates
parsimonious,all,Naive,1178.9472483420434,935.851255853071,20.469342901823072,1864.1568114086267,36,common_dates
parsimonious,crisis,Naive,1338.9154540596755,1186.3037675592134,33.35151232577741,2352.5537675592136,12,common_dates
parsimonious,tranquil,Naive,1090.1961406095693,810.625,14.0282581898459,1619.9583333333333,24,common_dates
parsimonious,all,VECM,1194.5289114704551,956.8061834190104,21.642132461299944,1892.3366781255863,36,common_dates
parsimonious,crisis,VECM,1444.8723199180183,1320.891744413991,38.04652546096347,2586.1650537112187,12,common_dates
parsimonious,tranquil,VECM,1047.1489722458534,774.7634029215201,13.439935961468183,1545.4224903327697,24,common_dates
parsimonious,all,XGBoost,640.5828291390734,475.7449645996094,11.819138413645256,900.8351440429688,36,common_dates
parsimonious,crisis,XGBoost,942.4822090887608,841.0914204915365,25.04817239158777,1610.808817545573,12,common_dates
parsimonious,tranquil,XGBoost,413.9845217605528,293.0717366536458,5.204621424673999,545.8483072916666,24,common_dates
bop,all,ARIMA,1249.8610855014506,1105.2029582356054,25.25612434659103,2159.0893438168077,27,common_dates
bop,crisis,ARIMA,1242.034130119167,1124.8271430733414,33.073922058850194,2144.745565900072,12,common_dates
bop,tranquil,ARIMA,1256.0875348425584,1089.5036103654163,19.00188617678369,2170.564366150196,15,common_dates
bop,all,BVAR,1359.5617455191311,1190.9719001096005,26.80936112119888,2366.2130132693032,27,common_dates
bop,crisis,BVAR,1368.9298055982133,1228.5246854030083,34.883165988166695,2421.6551001687462,12,common_dates
bop,tranquil,BVAR,1352.0205625870185,1160.9296718748742,20.350317227624625,2321.8593437497484,15,common_dates
bop,all,MS-VAR,315.24487674590387,218.28169305684952,5.15766261271038,409.6054073664217,27,common_dates
bop,crisis,MS-VAR,372.4599163954379,239.95368952545317,7.249986972843791,463.2357337651538,12,common_dates
bop,tranquil,MS-VAR,260.57952089359384,200.9440958819666,3.483803124603653,366.7011462474359,15,common_dates
bop,all,MS-VECM,323.4045492036548,226.05339371852983,5.391833037166779,427.5178453673512,27,common_dates
bop,crisis,MS-VECM,380.7357450282286,252.8415526951776,7.692829808865607,491.48923743469953,12,common_dates
bop,tranquil,MS-VECM,268.87755274167864,204.6228665372116,3.551035619807716,376.34073171347256,15,common_dates
bop,all,Naive,1350.8071814239772,1180.5794522485394,26.25437736988761,2352.246118915206,27,common_dates
bop,crisis,Naive,1338.9154540596755,1186.3037675592134,33.35151232577741,2352.5537675592136,12,common_dates
bop,tranquil,Naive,1360.2457130974535,1176.0,20.576669405175775,2352.0,15,common_dates
bop,all,VECM,1556.3436578458402,1393.163120527872,32.04516902281409,2767.022383596809,27,common_dates
bop,crisis,VECM,1629.082414358634,1504.0015251055593,43.42461131699672,2964.5693709285165,12,common_dates
bop,tranquil,VECM,1495.6077146606665,1304.492396865722,22.941615187468,2608.984793731444,15,common_dates
bop,all,XGBoost,886.1322330488664,690.4889368127893,17.46798934180099,1303.059497974537,27,common_dates
bop,crisis,XGBoost,1131.7373312550883,1018.178741455078,29.233999059832797,1985.0460205078125,12,common_dates
bop,tranquil,XGBoost,623.4990717247257,428.3370930989584,8.055181567375543,757.4702799479167,15,common_dates
